sG1x-LxqS7o	20230531	14	5756089	1080	1920	259000	180528	865	Broma Bakery	the easiest hack to get perfectly rounded cookies #cookie #hacks #tips
URh8TzthDnc	20210525	54	5713305	1080	1920	9350000	250976	2600	Patrick Zeinali	Microwaved Chocolate Chip Cookie!
Bnfz-vJg1AI	20241018	39	5663382	1080	1920	16700	378694	1200	miso butter baby	🍪 😋brown butter chocolate chip cookies                     #chocolatechipcookies #chocolaterecipe
TlryZMc6nmw	20241207	38	5546693	1080	1920	2830000	227293	1600	Chuchington	How to Make the BEST Cookies This Christmas
6elCoGd6g8w	20250307	34	4960871	1080	1920	2540000	NA	562	Louis Gantus	I found the best cookie #cooking #recipe #foodasmr #food
kc1Qwpue22w	20240817	11	4918216	720	1280	240000	64573	659	Iramsfoodstory 	Chocolate chip cookies 🍪 ( recipe in description)
CB1AqWZlYso	20211113	38	4576083	576	1024	19800	188495	885	FoodingWitMe	Homemade Chewy Chocolate Chip Cookies
0uu4E3SaMz4	20250516	52	4554049	1080	1920	4000000	252938	1700	The Hayeks	homemade s’more cookies 🍪 #baking #cookies #asmrcooking #shorts #recipe
KPrr6x8lwJM	20260112	30	4499195	1078	1920	320000	72794	847	TheContrarianMoney	The Best Chocolate Chip Cookies 🍪
bPiB_XMjEJw	20251003	142	4455904	1080	1920	1090000	192734	2200	TayBrice	M&M Chocolate Chip Cookies at Home
DzFXnZZEcdk	20260511	60	4407237	1080	1920	1050000	188648	758	Tim Laielli	brown butter sea salt chocolate chunk cookies - recipe below #baking #cookies #dessert
CrxTBWNA6Us	20230121	56	4294039	1080	1920	1370000	291614	733	benjaminthebaker	All My Best Chocolate Chip Cookie Tips
cnqKkAiZzfg	20250117	27	4058232	1080	1920	240000	116461	643	Iramsfoodstory 	Levain bakery chocolate chip walnut cookies 🍪
YbxTbXBbXDM	20240323	7	3900561	1080	1920	21200000	16489	109	Tasty	Secrets to Perfectly Round Cookies: Expert Tips Revealed! 🍪
dhpkzcCV_9Q	20260419	41	3811087	1080	1920	2830000	120025	1600	Chuchington	THIS is The BEST Chocolate Cookie Dough
7LZtibwnTNA	20240125	45	3718408	1080	1920	35800	130697	718	Stephanie Jazzar	So good 🍪😋 Inspired by @Moribyan #chocolatechipcookies #cookiesrecipe #bakewithme #cookies
QWZL6yvm3rM	20250531	35	3634565	1080	1920	895000	78658	388	khana peena recipe	Viral chocolate Cookies Recipe #shorts #dessert #recipe #chocolate #cookies
tvOKfM-FW7E	20230421	32	3608089	720	1280	762000	207965	3300	Tubby Nugget	The Chocolate Chip Cookie Song!!😋🍪
gAK_LzdTRTc	20260505	54	3569065	1080	1920	7250	86886	303	Ana Vera cooking bites	Pink chocolate chip cookies #chocolatechipcookies #asmr #recipe #baking #chocolate
h6IT7SNKlWM	20240528	59	3510035	1080	1920	378000	152392	1100	Lukefoods	Who Has The Best Chocolate Chip Cookie? #shorts
G51gKvrQiBk	20240515	60	3379154	1080	1920	1050000	49739	1600	A.J. & Big Justice	National Chocolate Chip Cookie Day‼️🇺🇸🍪 #bigjustice #boom #cookie #cookies #preston #brianna
HasheIV2G6k	20240909	58	3340059	1080	1920	1020000	246750	2400	Jack's Dining Room 	Trying what people say are the best new cookies in LA PT. 1 📍baked so cal #cookies #food
q9a7x3xonkw	20241109	25	3338054	1080	1920	20800	42002	566	Marietta Etcetera	The Best 3 ingredient Butter Cookies #recipe
Pll-KK_ig5Y	20250730	27	3060333	1080	1920	548000	81665	297	shivangi pithisaria	no oven, no microwave eggless chocolate chip kookie on the stove 🍪
